Country,Year,COW,CIRI,SPEECHLCK,ASSOCIATIONLCK,ASSEMBLYLCK,PRESSLCK,RELIGIONLCK,STRIKELCK,HABEASLCK,PUBLICTRIALLCK,FAIRTRIALLCK,TORTURELCK
United States,1985,2,662,2,0,1,2,2,0,1,2,2,0
Uruguay,1985,165,665,1,1,1,1,0,1,2,0,0,0
Vanuatu,1985,935,671,1,1,1,0,0,0,0,0,1,0
Venezuela,1985,101,674,1,1,1,0,1,1,1,0,0,0
Vietnam,1985,816,677,0,0,0,0,0,0,0,0,0,1
Yemen,1985,679,683,0,0,0,0,0,0,0,0,0,0
Yugoslavia,1985,345,689,1,1,1,1,1,0,1,1,0,0
Zambia,1985,551,695,1,1,1,0,1,0,1,1,2,2
Zimbabwe,1985,552,698,1,1,1,0,1,0,2,1,2,2
"Germany, East",1985,265,.,1,1,1,0,0,0,1,0,0,0
Afghanistan,1986,700,101,1,1,1,0,1,0,0,0,0,2
Albania,1986,339,104,0,0,0,0,0,0,0,1,0,0
Algeria,1986,615,107,.,.,.,.,.,.,.,.,.,.
Angola,1986,540,113,2,2,2,0,1,0,0,0,0,0
Argentina,1986,160,119,0,1,0,1,1,2,0,0,0,2
Australia,1986,900,125,0,0,0,0,0,0,0,0,0,0
Austria,1986,305,128,0,0,0,0,0,0,0,1,0,0
Bahamas,1986,31,134,1,1,1,0,1,0,2,1,2,2
Bahrain,1986,692,137,1,1,1,1,0,0,0,0,0,2
Bangladesh,1986,771,140,1,1,1,1,1,0,1,1,1,0
Barbados,1986,53,143,1,1,1,0,1,0,1,1,2,2
Belgium,1986,211,149,1,2,1,2,1,0,0,1,0,0
Belize,1986,80,152,1,1,1,0,1,0,2,0,2,2
Benin,1986,434,155,0,0,0,0,0,0,0,0,0,0
Bhutan,1986,760,158,0,0,0,0,0,0,0,0,0,0
Bolivia,1986,145,161,1,1,1,0,0,0,2,2,0,2
Botswana,1986,571,167,1,1,1,0,1,0,2,0,2,2
Brazil,1986,140,170,.,.,.,.,.,.,.,.,.,.
Brunei,1986,835,173,0,0,0,0,0,0,0,0,0,0
Bulgaria,1986,355,176,1,1,1,1,1,0,0,1,0,0
Burkina Faso,1986,439,179,0,0,0,0,0,0,0,0,0,0
Myanmar,1986,775,182,1,1,1,1,1,0,2,0,0,0
Burundi,1986,516,185,1,1,1,0,1,0,0,1,0,0
Cambodia,1986,811,188,0,0,0,0,0,0,0,0,0,0
Cameroon,1986,471,191,1,1,1,1,2,0,0,0,2,0
Canada,1986,20,194,1,1,1,1,1,0,2,2,2,0
Cape Verde Islands,1986,402,197,1,1,1,0,1,0,0,0,0,1
Central African Republic,1986,482,200,1,1,1,1,1,0,0,0,0,1
Chad,1986,483,203,0,0,0,0,0,0,0,0,0,0
Chile,1986,155,206,1,1,1,1,1,0,2,0,0,2
China,1986,710,209,1,1,1,1,1,0,0,1,0,0
Colombia,1986,100,212,0,0,1,0,0,1,2,0,0,0
Comoros,1986,581,215,1,1,1,1,0,1,0,1,0,2
Congo Kinshasa,1986,490,218,1,1,0,0,1,1,0,1,0,1
Congo Brazzaville,1986,484,221,0,0,0,0,0,0,0,0,0,0
Costa Rica,1986,94,224,1,1,1,0,1,1,2,0,0,0
Cote d'Ivoire,1986,437,227,0,0,0,0,0,0,0,0,0,0
Cuba,1986,40,233,1,1,0,1,0,0,0,0,0,0
Cyprus,1986,352,236,1,1,1,1,1,1,2,1,2,2
Czechoslovakia,1986,315,242,0,0,0,0,0,0,0,0,0,0
Denmark,1986,390,245,1,1,1,1,0,0,1,2,0,0
Djibouti,1986,522,248,0,0,0,0,0,0,0,0,0,0
Dominica,1986,56,251,1,1,1,0,1,0,2,0,0,2
Dominican Republic,1986,42,254,1,1,0,1,1,1,1,1,1,1
Ecuador,1986,130,260,.,.,.,.,.,.,.,.,.,.
Egypt,1986,651,263,2,1,1,0,2,0,0,1,0,2
El Salvador,1986,92,266,1,0,1,0,1,0,2,1,0,0
Equatorial Guinea,1986,411,269,1,1,1,0,1,0,1,1,0,1
Ethiopia,1986,530,278,0,0,0,0,0,0,0,0,0,0
Fiji,1986,950,281,1,1,1,0,1,0,1,1,1,1
Finland,1986,375,284,1,1,1,1,2,0,0,0,0,0
France,1986,220,287,0,0,0,0,0,0,0,0,0,0
Gabon,1986,481,290,0,1,0,0,1,0,0,0,0,0
Gambia,1986,420,293,1,1,1,0,1,0,1,1,1,1
Germany,1986,255,299,1,1,1,1,2,0,2,0,0,0
Ghana,1986,452,302,0,0,0,0,0,0,0,0,0,0
Greece,1986,350,305,1,1,1,0,1,1,2,1,0,2
Grenada,1986,55,308,1,1,1,0,1,0,2,2,2,2
Guatemala,1986,90,311,1,2,1,2,1,0,2,0,0,2
Guinea,1986,438,314,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,1986,404,317,0,0,0,0,0,0,0,0,0,1
Guyana,1986,110,320,1,1,1,0,1,0,2,1,1,2
Haiti,1986,41,323,1,1,1,0,1,0,1,1,0,0
Honduras,1986,91,326,1,1,1,1,1,1,2,0,0,2
Hungary,1986,310,329,0,0,0,0,0,0,0,0,0,0
Iceland,1986,395,332,1,1,1,1,1,0,2,0,0,0
India,1986,750,335,1,1,1,0,1,0,0,0,0,0
Indonesia,1986,850,338,1,0,1,1,1,0,0,0,0,0
Iran,1986,630,341,0,0,0,0,0,0,1,1,0,1
Iraq,1986,645,344,0,0,0,0,1,0,0,0,0,2
Ireland,1986,205,347,1,0,1,0,1,0,2,1,0,0
Israel,1986,666,350,0,0,0,0,0,0,0,0,0,0
Italy,1986,325,353,1,1,1,1,1,1,0,0,0,0
Jamaica,1986,51,356,1,1,1,0,1,0,1,1,1,1
Japan,1986,740,359,1,1,1,1,1,0,1,1,1,2
Jordan,1986,663,362,0,0,0,0,0,0,0,1,0,0
Kenya,1986,501,368,1,1,1,0,1,0,1,1,1,1
"Korea, North",1986,731,374,.,.,.,.,.,.,.,.,.,.
"Korea, South",1986,732,377,1,0,0,1,1,0,1,1,0,1
Kuwait,1986,690,380,1,1,1,1,0,0,0,1,0,1
Laos,1986,812,386,0,0,0,0,0,0,0,0,0,0
Lebanon,1986,660,392,0,0,0,0,1,0,0,0,0,0
Lesotho,1986,570,395,0,0,0,0,0,0,0,0,0,0
Liberia,1986,450,398,1,1,1,0,1,0,2,2,2,2
Libya,1986,620,401,0,0,0,0,0,0,0,0,0,0
Luxembourg,1986,212,410,1,2,1,1,1,0,0,1,0,0
Madagascar,1986,580,416,0,0,0,0,0,0,0,0,0,0
Malawi,1986,553,419,0,0,0,0,0,0,0,0,0,0
Malaysia,1986,820,422,0,0,0,0,0,0,0,0,0,0
Maldives,1986,781,425,0,0,0,0,0,0,0,0,0,0
Mali,1986,432,428,0,0,0,0,0,0,0,0,0,0
Malta,1986,338,431,1,1,1,0,1,0,1,1,1,0
Mauritania,1986,435,437,0,0,0,0,0,0,0,0,0,0
Mauritius,1986,590,440,1,1,1,0,1,0,1,1,1,1
Mexico,1986,70,443,1,1,1,1,1,0,1,2,0,2
Mongolia,1986,712,455,1,1,1,1,0,0,0,1,0,0
Morocco,1986,600,461,1,1,1,0,2,1,0,0,0,0
Mozambique,1986,541,464,0,0,0,0,0,0,0,0,0,0
Nepal,1986,790,473,1,1,1,0,1,0,1,0,0,0
Netherlands,1986,210,476,0,1,1,1,1,0,0,1,0,0
New Zealand,1986,920,479,0,0,0,0,0,0,0,0,0,0
Nicaragua,1986,93,482,0,0,0,0,0,0,0,0,0,0
Niger,1986,436,485,0,0,0,0,0,0,0,0,0,0
Nigeria,1986,475,488,1,1,1,0,1,0,1,1,1,2
Norway,1986,385,491,2,0,0,1,0,0,0,0,0,2
Oman,1986,698,494,0,0,0,0,0,0,0,0,0,0
Pakistan,1986,770,497,1,1,1,1,1,0,1,0,0,2
Panama,1986,95,503,1,1,1,0,1,1,2,2,0,0
Papua New Guinea,1986,910,506,1,1,1,1,1,0,0,0,1,1
Paraguay,1986,150,509,1,1,1,0,1,1,2,0,0,2
Peru,1986,135,512,1,1,1,1,1,1,1,1,0,1
Philippines,1986,840,515,.,.,.,.,.,.,.,.,.,.
Poland,1986,290,518,0,0,0,0,0,0,0,1,0,0
Portugal,1986,235,521,1,1,1,1,1,1,1,1,0,1
Qatar,1986,694,524,0,0,0,1,0,0,0,2,0,0
Romania,1986,360,527,1,1,1,1,1,0,0,0,0,0
Russia,1986,365,530,0,0,0,0,1,0,0,1,0,0
Rwanda,1986,517,533,1,1,1,0,1,1,0,1,0,0
St. Lucia,1986,59,539,1,1,1,0,1,0,1,1,1,1
St. Vincent & Grenadines,1986,57,542,1,1,1,0,1,0,1,1,1,1
Samoa,1986,990,545,1,1,1,0,1,0,1,1,2,2
Sao Tome & Principe,1986,403,551,1,1,1,1,1,1,1,1,0,1
Saudi Arabia,1986,670,554,0,0,0,0,0,0,0,0,0,0
Senegal,1986,433,557,1,1,0,0,1,1,0,0,0,0
Seychelles,1986,591,566,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1986,451,569,1,1,1,0,1,0,1,1,1,1
Singapore,1986,830,572,1,1,1,0,1,0,1,0,0,0
Solomon Islands,1986,940,581,1,1,1,0,1,0,1,1,1,1
Somalia,1986,520,584,1,0,1,1,1,0,1,0,0,2
South Africa,1986,560,587,0,0,0,0,0,0,0,0,0,0
Spain,1986,230,593,1,1,1,0,1,1,1,1,0,1
Sri Lanka,1986,780,596,1,1,1,1,1,0,1,1,0,0
Sudan,1986,625,599,1,1,1,1,1,0,0,0,1,1
Suriname,1986,115,602,0,0,0,0,0,0,0,0,0,0
Swaziland,1986,572,605,0,0,0,0,0,0,0,0,0,0
Sweden,1986,380,608,1,1,1,0,2,1,2,2,0,2
Switzerland,1986,225,611,0,1,0,2,1,0,0,0,0,0
Syria,1986,652,614,1,0,0,1,1,0,0,0,0,0
Tanzania,1986,510,623,1,1,0,0,1,0,0,0,0,0
Thailand,1986,800,626,.,.,.,.,.,.,.,.,.,.
Togo,1986,461,629,0,0,0,0,0,0,0,0,0,0
Trinidad,1986,52,635,1,1,1,1,1,0,1,1,1,0
Tunisia,1986,616,638,1,1,1,1,0,0,0,0,0,0
Turkey,1986,640,641,1,1,1,1,1,1,1,1,0,1
Uganda,1986,500,650,0,0,0,0,0,0,0,0,0,0
UAE,1986,696,656,1,0,1,0,0,0,0,0,1,1
United Kingdom,1986,200,659,.,.,.,.,.,.,.,.,.,.
United States,1986,2,662,2,0,1,2,2,0,1,2,2,0
Uruguay,1986,165,665,1,1,1,1,0,1,2,0,0,0
Vanuatu,1986,935,671,1,1,1,0,0,0,0,0,1,0
Venezuela,1986,101,674,1,1,1,0,1,1,1,0,0,0
Vietnam,1986,816,677,0,0,0,0,0,0,0,0,0,1
Yemen,1986,679,683,0,0,0,0,0,0,0,0,0,0
Yugoslavia,1986,345,689,1,1,1,1,1,0,1,1,0,0
Zambia,1986,551,695,1,1,1,0,1,0,1,1,2,2
Zimbabwe,1986,552,698,1,1,1,0,1,0,2,1,2,2
"Germany, East",1986,265,.,1,1,1,0,0,0,1,0,0,0
Afghanistan,1987,700,101,1,1,1,1,1,1,1,1,0,2
Albania,1987,339,104,0,0,0,0,0,0,0,1,0,0
Algeria,1987,615,107,.,.,.,.,.,.,.,.,.,.
Angola,1987,540,113,2,2,2,0,1,0,0,0,0,0
Argentina,1987,160,119,0,1,0,1,1,2,0,0,0,2
Australia,1987,900,125,0,0,0,0,0,0,0,0,0,0
Austria,1987,305,128,0,0,0,0,0,0,0,1,0,0
Bahamas,1987,31,134,1,1,1,0,1,0,2,1,2,2
Bahrain,1987,692,137,1,1,1,1,0,0,0,0,0,2
Bangladesh,1987,771,140,1,1,1,1,1,0,1,1,1,0
Barbados,1987,53,143,1,1,1,0,1,0,1,1,2,2
Belgium,1987,211,149,1,2,1,2,1,0,0,1,0,0
Belize,1987,80,152,1,1,1,0,1,0,2,0,2,2
Benin,1987,434,155,0,0,0,0,0,0,0,0,0,0
Bhutan,1987,760,158,0,0,0,0,0,0,0,0,0,0
Bolivia,1987,145,161,1,1,1,0,0,0,2,2,0,2
Botswana,1987,571,167,1,1,1,0,1,0,2,0,2,2
Brazil,1987,140,170,.,.,.,.,.,.,.,.,.,.
Brunei,1987,835,173,0,0,0,0,0,0,0,0,0,0
Bulgaria,1987,355,176,1,1,1,1,1,0,0,1,0,0
Burkina Faso,1987,439,179,0,0,0,0,0,0,0,0,0,0
Myanmar,1987,775,182,1,1,1,1,1,0,2,0,0,0
Burundi,1987,516,185,0,0,0,0,0,0,0,0,0,0
Cambodia,1987,811,188,0,0,0,0,0,0,0,0,0,0
Cameroon,1987,471,191,1,1,1,1,2,0,0,0,2,0
Canada,1987,20,194,1,1,1,1,1,0,2,2,2,0
Cape Verde Islands,1987,402,197,1,1,1,0,1,0,0,0,0,1
Central African Republic,1987,482,200,1,1,1,1,1,0,0,0,0,1
Chad,1987,483,203,0,0,0,0,0,0,0,0,0,0
Chile,1987,155,206,1,1,1,1,1,0,2,0,0,2
China,1987,710,209,1,1,1,1,1,0,0,1,0,0
Colombia,1987,100,212,0,0,1,0,0,1,2,0,0,0
Comoros,1987,581,215,1,1,1,1,0,1,0,1,0,2
Congo Kinshasa,1987,490,218,1,1,0,0,1,1,0,1,0,1
Congo Brazzaville,1987,484,221,0,0,0,0,0,0,0,0,0,0
Costa Rica,1987,94,224,1,1,1,0,1,1,2,0,0,0
Cote d'Ivoire,1987,437,227,0,0,0,0,0,0,0,0,0,0
Cuba,1987,40,233,1,1,0,1,0,0,0,0,0,0
Cyprus,1987,352,236,1,1,1,1,1,1,2,1,2,2
Czechoslovakia,1987,315,242,0,0,0,0,0,0,0,0,0,0
Denmark,1987,390,245,1,1,1,1,0,0,1,2,0,0
Djibouti,1987,522,248,0,0,0,0,0,0,0,0,0,0
Dominica,1987,56,251,1,1,1,0,1,0,2,0,0,2
Dominican Republic,1987,42,254,1,1,0,1,1,1,1,1,1,1
Ecuador,1987,130,260,.,.,.,.,.,.,.,.,.,.
Egypt,1987,651,263,2,1,1,0,2,0,0,1,0,2
El Salvador,1987,92,266,1,0,1,0,1,0,2,1,0,0
Equatorial Guinea,1987,411,269,1,1,1,0,1,0,1,1,0,1
Ethiopia,1987,530,278,1,1,1,1,0,0,1,0,0,0
Fiji,1987,950,281,1,1,1,0,1,0,1,1,1,1
Finland,1987,375,284,1,1,1,1,2,0,0,0,0,0
France,1987,220,287,0,0,0,0,0,0,0,0,0,0
Gabon,1987,481,290,0,1,0,0,1,0,0,0,0,0
Gambia,1987,420,293,1,1,1,0,1,0,1,1,1,1
Germany,1987,255,299,1,1,1,1,2,0,2,0,0,0
Ghana,1987,452,302,0,0,0,0,0,0,0,0,0,0
Greece,1987,350,305,1,1,1,0,1,1,2,1,0,2
Grenada,1987,55,308,1,1,1,0,1,0,2,2,2,2
Guatemala,1987,90,311,1,2,1,2,1,0,2,0,0,2
Guinea,1987,438,314,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,1987,404,317,0,0,0,0,0,0,0,0,0,1
Guyana,1987,110,320,1,1,1,0,1,0,2,1,1,2
Haiti,1987,41,323,2,1,1,1,1,1,2,1,0,2
Honduras,1987,91,326,1,1,1,1,1,1,2,0,0,2
Hungary,1987,310,329,0,0,0,0,0,0,0,0,0,0
Iceland,1987,395,332,1,1,1,1,1,0,2,0,0,0
India,1987,750,335,1,1,1,0,1,0,0,0,0,0
Indonesia,1987,850,338,1,0,1,1,1,0,0,0,0,0
Iran,1987,630,341,0,0,0,0,0,0,1,1,0,1
Iraq,1987,645,344,0,0,0,0,1,0,0,0,0,2
Ireland,1987,205,347,1,0,1,0,1,0,2,1,0,0
Israel,1987,666,350,0,0,0,0,0,0,0,0,0,0
Italy,1987,325,353,1,1,1,1,1,1,0,0,0,0
Jamaica,1987,51,356,1,1,1,0,1,0,1,1,1,1
Japan,1987,740,359,1,1,1,1,1,0,1,1,1,2
Jordan,1987,663,362,0,0,0,0,0,0,0,1,0,0
Kenya,1987,501,368,1,1,1,0,1,0,1,1,1,1
"Korea, North",1987,731,374,.,.,.,.,.,.,.,.,.,.
"Korea, South",1987,732,377,1,0,0,1,1,0,1,1,0,1
Kuwait,1987,690,380,1,1,1,1,0,0,0,1,0,1
Laos,1987,812,386,0,0,0,0,0,0,0,0,0,0
Lebanon,1987,660,392,0,0,0,0,1,0,0,0,0,0
Lesotho,1987,570,395,0,0,0,0,0,0,0,0,0,0
Liberia,1987,450,398,1,1,1,0,1,0,2,2,2,2
Libya,1987,620,401,0,0,0,0,0,0,0,0,0,0
Luxembourg,1987,212,410,1,2,1,1,1,0,0,1,0,0
Madagascar,1987,580,416,0,0,0,0,0,0,0,0,0,0
Malawi,1987,553,419,0,0,0,0,0,0,0,0,0,0
Malaysia,1987,820,422,0,0,0,0,0,0,0,0,0,0
Maldives,1987,781,425,0,0,0,0,0,0,0,0,0,0
Mali,1987,432,428,0,0,0,0,0,0,0,0,0,0
Malta,1987,338,431,1,1,1,0,1,0,1,1,1,0
Mauritania,1987,435,437,0,0,0,0,0,0,0,0,0,0
Mauritius,1987,590,440,1,1,1,0,1,0,1,1,1,1
Mexico,1987,70,443,1,1,1,1,1,0,1,2,0,2
Mongolia,1987,712,455,1,1,1,1,0,0,0,1,0,0
Morocco,1987,600,461,1,1,1,0,2,1,0,0,0,0
Mozambique,1987,541,464,0,0,0,0,0,0,0,0,0,0
Nepal,1987,790,473,1,1,1,0,1,0,1,0,0,0
Netherlands,1987,210,476,0,1,1,1,1,0,0,1,0,0
New Zealand,1987,920,479,0,0,0,0,0,0,0,0,0,0
Nicaragua,1987,93,482,1,1,1,0,1,2,2,1,0,2
Niger,1987,436,485,0,0,0,0,0,0,0,0,0,0
Nigeria,1987,475,488,1,1,1,0,1,0,1,1,1,2
Norway,1987,385,491,2,0,0,1,0,0,0,0,0,2
Oman,1987,698,494,0,0,0,0,0,0,0,0,0,0
Pakistan,1987,770,497,1,1,1,1,1,0,1,0,0,2
Panama,1987,95,503,1,1,1,0,1,1,2,2,0,0
Papua New Guinea,1987,910,506,1,1,1,1,1,0,0,0,1,1
Paraguay,1987,150,509,1,1,1,0,1,1,2,0,0,2
Peru,1987,135,512,1,1,1,1,1,1,1,1,0,1
Philippines,1987,840,515,2,2,2,2,1,0,1,0,0,2
Poland,1987,290,518,0,0,0,0,0,0,0,1,0,0
Portugal,1987,235,521,1,1,1,1,1,1,1,1,0,1
Qatar,1987,694,524,0,0,0,1,0,0,0,2,0,0
Romania,1987,360,527,1,1,1,1,1,0,0,0,0,0
Russia,1987,365,530,0,0,0,0,1,0,0,1,0,0
Rwanda,1987,517,533,1,1,1,0,1,1,0,1,0,0
St. Lucia,1987,59,539,1,1,1,0,1,0,1,1,1,1
St. Vincent & Grenadines,1987,57,542,1,1,1,0,1,0,1,1,1,1
Samoa,1987,990,545,1,1,1,0,1,0,1,1,2,2
Sao Tome & Principe,1987,403,551,1,1,1,1,1,1,1,1,0,1
Saudi Arabia,1987,670,554,0,0,0,0,0,0,0,0,0,0
Senegal,1987,433,557,1,1,0,0,1,1,0,0,0,0
Seychelles,1987,591,566,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1987,451,569,1,1,1,0,1,0,1,1,1,1
Singapore,1987,830,572,1,1,1,0,1,0,1,0,0,0
Solomon Islands,1987,940,581,1,1,1,0,1,0,1,1,1,1
Somalia,1987,520,584,1,0,1,1,1,0,1,0,0,2
South Africa,1987,560,587,0,0,0,0,0,0,0,0,0,0
Spain,1987,230,593,1,1,1,0,1,1,1,1,0,1
Sri Lanka,1987,780,596,1,1,1,1,1,0,1,1,0,0
Sudan,1987,625,599,1,1,1,1,1,0,0,0,1,1
Suriname,1987,115,602,0,0,0,0,0,0,0,0,0,0
Swaziland,1987,572,605,0,0,0,0,0,0,0,0,0,0
Sweden,1987,380,608,1,1,1,0,2,1,2,2,0,2
Switzerland,1987,225,611,0,1,0,2,1,0,0,0,0,0
Syria,1987,652,614,1,0,0,1,1,0,0,0,0,0
Tanzania,1987,510,623,1,1,0,0,1,0,0,0,0,0
Thailand,1987,800,626,.,.,.,.,.,.,.,.,.,.
Togo,1987,461,629,0,0,0,0,0,0,0,0,0,0
Trinidad,1987,52,635,1,1,1,1,1,0,1,1,1,0
Tunisia,1987,616,638,1,1,1,1,0,0,0,0,0,0
Turkey,1987,640,641,1,1,1,1,1,1,1,1,0,1
Uganda,1987,500,650,0,0,0,0,0,0,0,0,0,0
UAE,1987,696,656,1,0,1,0,0,0,0,0,1,1
United Kingdom,1987,200,659,.,.,.,.,.,.,.,.,.,.
United States,1987,2,662,2,0,1,2,2,0,1,2,2,0
Uruguay,1987,165,665,1,1,1,1,0,1,2,0,0,0
Vanuatu,1987,935,671,1,1,1,0,0,0,0,0,1,0
Venezuela,1987,101,674,1,1,1,0,1,1,1,0,0,0
Vietnam,1987,816,677,0,0,0,0,0,0,0,0,0,1
Yemen,1987,679,683,0,0,0,0,0,0,0,0,0,0
Yugoslavia,1987,345,689,1,1,1,1,1,0,1,1,0,0
Zambia,1987,551,695,1,1,1,0,1,0,1,1,2,2
Zimbabwe,1987,552,698,1,1,1,0,1,0,2,1,2,2
"Germany, East",1987,265,.,1,1,1,0,0,0,1,0,0,0
Afghanistan,1988,700,101,1,1,1,1,1,1,1,1,0,2
Albania,1988,339,104,0,0,0,0,0,0,0,1,0,0
Algeria,1988,615,107,.,.,.,.,.,.,.,.,.,.
Angola,1988,540,113,2,2,2,0,1,0,0,0,0,0
Argentina,1988,160,119,0,1,0,1,1,2,0,0,0,2
Australia,1988,900,125,0,0,0,0,0,0,0,0,0,0
Austria,1988,305,128,0,0,0,0,0,0,0,1,0,0
Bahamas,1988,31,134,1,1,1,0,1,0,2,1,2,2
Bahrain,1988,692,137,1,1,1,1,0,0,0,0,0,2
Bangladesh,1988,771,140,1,1,1,1,1,0,1,1,1,0
Barbados,1988,53,143,1,1,1,0,1,0,1,1,2,2
Belgium,1988,211,149,1,2,1,2,1,0,0,1,0,0
Belize,1988,80,152,1,1,1,0,1,0,2,0,2,2
Benin,1988,434,155,0,0,0,0,0,0,0,0,0,0
Bhutan,1988,760,158,0,0,0,0,0,0,0,0,0,0
Bolivia,1988,145,161,1,1,1,0,0,0,2,2,0,2
Botswana,1988,571,167,1,1,1,0,1,0,2,0,2,2
Brazil,1988,140,170,2,2,1,0,1,2,2,0,0,2
Brunei,1988,835,173,0,0,0,0,0,0,0,0,0,0
Bulgaria,1988,355,176,1,1,1,1,1,0,0,1,0,0
Burkina Faso,1988,439,179,0,0,0,0,0,0,0,0,0,0
Myanmar,1988,775,182,1,1,1,1,1,0,2,0,0,0
Burundi,1988,516,185,0,0,0,0,0,0,0,0,0,0
Cambodia,1988,811,188,0,0,0,0,0,0,0,0,0,0
Cameroon,1988,471,191,1,1,1,1,2,0,0,0,2,0
Canada,1988,20,194,1,1,1,1,1,0,2,2,2,0
Cape Verde Islands,1988,402,197,1,1,1,0,1,0,0,0,0,1
Central African Republic,1988,482,200,1,1,1,1,1,0,0,0,0,1
Chad,1988,483,203,0,0,0,0,0,0,0,0,0,0
Chile,1988,155,206,1,1,1,1,1,0,2,0,0,2
China,1988,710,209,1,1,1,1,1,0,0,1,0,0
Colombia,1988,100,212,0,0,1,0,0,1,2,0,0,0
Comoros,1988,581,215,1,1,1,1,0,1,0,1,0,2
Congo Kinshasa,1988,490,218,1,1,0,0,1,1,0,1,0,1
Congo Brazzaville,1988,484,221,0,0,0,0,0,0,0,0,0,0
Costa Rica,1988,94,224,1,1,1,0,1,1,2,0,0,0
Cote d'Ivoire,1988,437,227,0,0,0,0,0,0,0,0,0,0
Cuba,1988,40,233,1,1,0,1,0,0,0,0,0,0
Cyprus,1988,352,236,1,1,1,1,1,1,2,1,2,2
Czechoslovakia,1988,315,242,0,0,0,0,0,0,0,0,0,0
Denmark,1988,390,245,1,1,1,1,0,0,1,2,0,0
Djibouti,1988,522,248,0,0,0,0,0,0,0,0,0,0
Dominica,1988,56,251,1,1,1,0,1,0,2,0,0,2
Dominican Republic,1988,42,254,1,1,0,1,1,1,1,1,1,1
Ecuador,1988,130,260,.,.,.,.,.,.,.,.,.,.
Egypt,1988,651,263,2,1,1,0,2,0,0,1,0,2
El Salvador,1988,92,266,1,0,1,0,1,0,2,1,0,0
Equatorial Guinea,1988,411,269,1,1,1,0,1,0,1,1,0,1
Ethiopia,1988,530,278,1,1,1,1,0,0,1,0,0,0
Fiji,1988,950,281,0,0,0,0,0,0,0,0,0,0
Finland,1988,375,284,1,1,1,1,2,0,0,0,0,0
France,1988,220,287,0,0,0,0,0,0,0,0,0,0
Gabon,1988,481,290,0,1,0,0,1,0,0,0,0,0
Gambia,1988,420,293,1,1,1,0,1,0,1,1,1,1
Germany,1988,255,299,1,1,1,1,2,0,2,0,0,0
Ghana,1988,452,302,0,0,0,0,0,0,0,0,0,0
Greece,1988,350,305,1,1,1,0,1,1,2,1,0,2
Grenada,1988,55,308,1,1,1,0,1,0,2,2,2,2
Guatemala,1988,90,311,1,2,1,2,1,0,2,0,0,2
Guinea,1988,438,314,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,1988,404,317,0,0,0,0,0,0,0,0,0,1
Guyana,1988,110,320,1,1,1,0,1,0,2,1,1,2
Haiti,1988,41,323,2,1,1,1,1,1,2,1,0,2
Honduras,1988,91,326,1,1,1,1,1,1,2,0,0,2
Hungary,1988,310,329,0,0,0,0,0,0,0,0,0,0
Iceland,1988,395,332,1,1,1,1,1,0,2,0,0,0
India,1988,750,335,1,1,1,0,1,0,0,0,0,0
Indonesia,1988,850,338,1,0,1,1,1,0,0,0,0,0
Iran,1988,630,341,0,0,0,0,0,0,1,1,0,1
Iraq,1988,645,344,0,0,0,0,1,0,0,0,0,2
Ireland,1988,205,347,1,0,1,0,1,0,2,1,0,0
Israel,1988,666,350,0,0,0,0,0,0,0,0,0,0
Italy,1988,325,353,1,1,1,1,1,1,0,0,0,0
Jamaica,1988,51,356,1,1,1,0,1,0,1,1,1,1
Japan,1988,740,359,1,1,1,1,1,0,1,1,1,2
Jordan,1988,663,362,0,0,0,0,0,0,0,1,0,0
Kenya,1988,501,368,1,1,1,0,1,0,1,1,1,1
"Korea, North",1988,731,374,.,.,.,.,.,.,.,.,.,.
"Korea, South",1988,732,377,1,1,1,1,1,0,1,1,0,1
Kuwait,1988,690,380,1,1,1,1,0,0,0,1,0,1
Laos,1988,812,386,0,0,0,0,0,0,0,0,0,0
Lebanon,1988,660,392,0,0,0,0,1,0,0,0,0,0
Lesotho,1988,570,395,0,0,0,0,0,0,0,0,0,0
Liberia,1988,450,398,1,1,1,0,1,0,2,2,2,2
Libya,1988,620,401,0,0,0,0,0,0,0,0,0,0
Luxembourg,1988,212,410,1,2,1,1,1,0,0,1,0,0
Madagascar,1988,580,416,0,0,0,0,0,0,0,0,0,0
Malawi,1988,553,419,0,0,0,0,0,0,0,0,0,0
Malaysia,1988,820,422,0,0,0,0,0,0,0,0,0,0
Maldives,1988,781,425,0,0,0,0,0,0,0,0,0,0
Mali,1988,432,428,0,0,0,0,0,0,0,0,0,0
Malta,1988,338,431,1,1,1,0,1,0,1,1,1,0
Mauritania,1988,435,437,0,0,0,0,0,0,0,0,0,0
Mauritius,1988,590,440,1,1,1,0,1,0,1,1,1,1
Mexico,1988,70,443,1,1,1,1,1,0,1,2,0,2
Mongolia,1988,712,455,1,1,1,1,0,0,0,1,0,0
Morocco,1988,600,461,1,1,1,0,2,1,0,0,0,0
Mozambique,1988,541,464,0,0,0,0,0,0,0,0,0,0
Nepal,1988,790,473,1,1,1,0,1,0,1,0,0,0
Netherlands,1988,210,476,0,1,1,1,1,0,0,1,0,0
New Zealand,1988,920,479,0,0,0,0,0,0,0,0,0,0
